Player Name,Position,Short Name,F to M,M to F,M to D,D to M,Position (new),Starts,total_points,Points (new position),NAP,NAPPS,Cost,True Cost
Lovren,2,LIV,,,,,2,8,16,16,0,0.00,#N/A,
Lowton,2,BUR,,,,,2,17,48,48,14,0.82,45,
Lucas Moura,3,TOT,,,,,3,24,82,82,34,1.42,70,
Lundstram,2,SHU,,,,,2,26,131,131,79,3.04,55,
Mac Allister,3,BHA,,,,,3,3,6,6,0,0.00,55,
Maddison,3,LEI,,,,,3,29,123,123,65,2.24,70,
Maguire,2,MUN,,,,,2,38,123,123,47,1.24,55,
Mahrez,3,MCI,,,,,3,18,144,144,108,6.00,85,
Maitland-Niles,2,ARS,,,,,2,14,40,40,12,0.86,50,
Mané,3,LIV,,,,,3,30,208,208,148,4.93,120,
Manquillo,2,NEW,,,,,2,17,62,62,28,1.65,45,
March,3,BHA,,,,,3,11,31,31,9,0.82,50,
Marí,2,ARS,,,,,2,1,7,7,5,5.00,45,
Mariappa,2,WAT,,,,,2,15,24,24,-6,-0.40,#N/A,
Martial,3,MUN,,,,,3,31,199,199,137,4.42,90,
Martin,1,WHU,,,,,1,5,20,20,10,2.00,40,
Martinelli,4,ARS,,,,,4,6,29,29,17,2.83,50,
Martínez,1,ARS,,,,,1,8,32,32,16,2.00,45,
Masina,2,WAT,,,,,2,19,62,62,24,1.26,#N/A,
Masuaku,2,WHU,,,,,2,9,22,22,4,0.44,45,
Mata,3,MUN,,,,,3,8,27,27,11,1.38,60,
Matic,3,MUN,,,,,3,18,52,52,16,0.89,50,
Matip,2,LIV,,,,,2,8,38,38,22,2.75,55,
Matthew Longstaff,3,NEW,,,,,3,6,24,24,12,2.00,50,
Maupay,4,BHA,,,,,4,29,120,120,62,2.14,65,
McArthur,3,CRY,,,,,3,36,91,91,19,0.53,55,
McBurnie,4,SHU,,,,,4,21,62,62,20,0.95,60,
McCarthy,3,CRY,,,,,3,15,27,27,-3,-0.20,45,
McCarthy,1,SOU,,,,,1,28,104,104,48,1.71,45,
McGinn,3,AVL,,,,,3,25,81,81,31,1.24,55,
McGoldrick,4,SHU,,,,,4,19,56,56,18,0.95,55,
McGovern,1,NOR,,,,,1,2,11,11,7,3.50,#N/A,
McLean,3,NOR,,,,,3,32,72,72,8,0.25,#N/A,
McNeil,3,BUR,,,,,3,37,122,122,48,1.30,60,
McTominay,3,MUN,,,,,3,19,62,62,24,1.26,50,
Mee,2,BUR,,,,1,3,32,110,87,23,0.72,50,
Mendy,3,LEI,1,,,,3,3,7,8,2,0.67,60,
Mendy,2,MCI,,,,,2,16,71,71,39,2.44,60,
Mepham,2,BOU,,,,,2,10,25,25,5,0.50,#N/A,
Meyer,3,CRY,,,,,3,6,12,12,0,0.00,50,
Milivojevic,3,CRY,,,,,3,28,78,78,22,0.79,60,
Milner,3,LIV,,,,,3,8,33,33,17,2.13,55,
Mina,2,EVE,,,,,2,24,73,73,25,1.04,55,
Minamino,3,LIV,,,,,3,1,2,2,0,0.00,65,
Mings,2,AVL,,,,,2,32,90,90,26,0.81,50,
Mitchell,2,CRY,,,,,2,2,2,2,-2,-1.00,40,
Mkhitaryan,3,ARS,,,,,3,1,2,2,0,0.00,#N/A,
Monreal,2,ARS,,,,,2,3,10,10,4,1.33,#N/A,
Montoya,2,BHA,,,,,2,20,59,59,19,0.95,45,
Moore,1,SHU,,,,,1,2,3,3,-1,-0.50,45,
Mooy,3,BHA,,,,,3,22,75,75,31,1.41,50,
Morgan,2,LEI,,,,,2,4,12,12,4,1.00,45,
Mount,3,CHE,,,,,3,30,125,125,65,2.17,70,
Mousset,4,SHU,,,,,4,8,39,39,23,2.88,60,
