web_name,now_cost
Harper,45
Pereira,60
Noble,50
Snodgrass,60
Martin,40
Randolph,45
Fabianski,50
Ogbonna,50
Roberto,45
Wilshere,50
Cresswell,50
Yarmolenko,60
Antonio,65
Fredericks,45
Lanzini,65
Felipe Anderson,65
Haller,65
Masuaku,45
Balbuena,45
Hugill,55
Bowen,65
Diangana,55
Ajeti,55
Rice,50
Soucek,50
Fornals,65
Diop,45
Johnson,40
Ruddy,45
Moutinho,55
Patrício,55
Bennett,45
Doherty,60
Boly,55
Coady,50
Jiménez,85
Saïss,50
Jonny,55
Bonatini,50
Dendoncker,50
Traoré,65
Neves,55
Buur,40
Jota,65
Podence,55
Kilman,40
Vinagre,45
Sarkic,45
Gibbs-White,50
Neto,55
Jordao,45
Campana,50
